basin,total_area
DZA_ANIN,169174.60338820002
SYR_MSEC,2108.845116109
AFG_CSEC,5592.854892460001
AFG_INDU,4655.098663001
CHN_YANG,295514.76120434876
MAR_ANWC,29113.860646641602
CYP_MSEC,1583.8186823833998
IND_INDU,15497.4362214838
TUN_ANIN,5714.293295869999
AFG_HELM,20989.884646061
LBN_MSEC,693.8322627590001
AFG_FARA,3589.3422543110005
MAR_ANIN,4807.983474607001
LBY_MSCC,27656.2854089108
ISR_MSEC,707.2843794000001
PSE_MSEC,600.251123401
SYR_DEAS,358.76743796400007
JOR_EJSS,3440.235055858
MEX_BJCA,24625.368041099995
MEX_MNCW,44196.601621172806
LBY_ANIN,127527.038420019
PSE_DEAS,49.74460864600001
SAU_RSEE,41760.62272765041
SAU_ARPA,147720.73613578232
EGY_ANIN,58611.547531799995
EGY_NILE,26703.9521213943
EGY_ARGA,12315.382934300002
JOR_DEAS,378.40417312
IND_GABR,114297.7328933891
MEX_RGBV,18584.879384947
IRN_PGCO,31396.061225036
IND_SABA,43699.36228804201
JOR_SIPE,678.4117018450002
KWT_TIEU,317.61859819000006
PAK_HAMU,9708.646064479097
NPL_GABR,14713.725704977704
ISR_DEAS,83.98003199950001
PAK_SABA,11360.9386776314
KWT_ARPA,539.269629
MMR_IRRA,34405.21992701141
MEX_MCIN,15654.838719600002
BTN_GABR,2772.6449361510004
MMR_SALW,10130.481956669602
MRT_ANIN,50648.058820733
PAK_ASAC,11039.822071614199
BHS_CARI,12982.1304194
BHR_ARPA,277.1681396
QAT_ARPA,1849.4602292384002
OMN_ARPA,34092.989203518795
MEX_RIVE,18350.6990746408
MRT_ANWC,28299.190271220898
ARE_ARPA,6201.812206600001
BGD_GABR,9490.972133129198
DZA_NIGE,21523.266651105998
MLI_ANIN,44940.555460865
NER_LCHA,61020.595050776996
IND_GODA,50107.05600401941
MEX_RLER,13121.822911917801
CUB_CARI,22909.7105374475
TCD_LCHA,115559.353079795
TCD_ANIN,6260.138827401
MMR_BBCN,5474.4606880418
VNM_HRIV,9600.957181947
HKG_CHIN,308.2572150116
SDN_NILE,129113.0596867238
BGD_BBCN,860.1031983
LAO_MEKO,12320.790997564005
VNM_MEKO,6404.672404207499
MAC_XJIA,30.032894167499997
MEX_RIBA,39358.58205760001
MEX_YUPA,27594.231479761205
TCA_CARI,861.1134522
NER_NIGE,47212.401724864
SDN_ANIN,25451.023071700012
SDN_ARGA,8369.457968315102
VNM_VNCO,19992.5324478523
IND_KRIS,73239.80186905811
MMR_SITT,6317.8425825679
PHL_PHIL,70389.9786156
HTI_CARI,5222.301191806
MLI_NIGE,54011.296728968
THA_MEKO,18737.809931908803
LAO_VNCO,644.627645517
CYM_CARI,873.4788086000001
DOM_CARI,7605.5693609
MRT_SENE,17595.871422570002
SDN_LCHA,5754.102916035
THA_CHAO,12671.756388003001
JAM_CARI,2937.4128176999993
PRI_CARI,2934.8903323999994
VGB_CARI,292.6377686
YEM_ARPA,16272.6363665716
MNP_NMIG,2073.690625
BLZ_YUPA,2658.4709962
VIR_CARI,538.8069703147
ATG_CARI,589.4646973
YEM_RSEE,31128.968156607603
GTM_GRIJ,1482.6276367
GTM_YUPA,2641.5295820748
KNA_CARI,295.1378174
ERI_ARGA,8305.1004827224
HND_SCAM,10919.7103850047
SEN_SENE,7695.8745091416
THA_PMAL,18499.4386048077
SEN_AFWC,11590.7465781908
MMR_PMAL,7535.552441700001
GTM_SCAM,2456.490397759
NIC_SCAM,16056.016110739602
DMA_CARI,298.15632320000003
MLI_SENE,14014.614147498
ERI_NILE,1024.072184776
BFA_NIGE,3904.6782470999997
ETH_NILE,27925.013600235994
ETH_RIFT,26611.594113079
ERI_RIFT,405.8719758635
THA_GTCC,3280.2721751701
SLV_SCAM,2869.0535117807
LCA_CARC,849.8720927782001
BFA_VOLT,13869.269284843002
NGA_NIGE,58415.0206719555
NGA_LCHA,14054.195189701
KHM_MEKO,11375.469856853
GUM_NMIG,600.9935303
VCT_CARC,451.52065435
BRB_CARC,601.6230958
ABW_CARC,602.8364258
YEM_ARGA,2112.2623535000002
COL_CARC,7618.4553225
VEN_CARC,21698.7042793566
GRD_CARC,302.0019287
GNB_AFWC,3669.9753589426005
GIN_AFWC,6325.427640004
SSD_NILE,60008.009455591804
DJI_ARGA,907.1271729
GIN_SENE,2051.586543674
BEN_NIGE,2592.0473015800003
ETH_ARGA,3678.5986731210005
SOM_ARGA,45080.17196355
KHM_GTCC,1212.8926515
COL_MAGD,23300.851327850705
TTO_CARC,1822.6490725
GIN_NIGE,7374.2445007060005
GHA_VOLT,14858.9168902632
TGO_VOLT,2745.770288766
CMR_LCHA,2005.0885993200002
CRI_SCAM,6700.5535162
VEN_MAGD,24.35099512
BEN_VOLT,625.786257396
VEN_ORIN,63858.8912761744
CIV_AFWC,25564.826969407997
CMR_NIGE,5634.495022254
CAF_LCHA,17666.354663388
SOM_RIFT,39.57597095
PAN_SCAM,9275.441962707599
PAN_CEPC,4648.128308011101
SLE_AFWC,8446.164770887799
CIV_NIGE,1172.8126428700002
BEN_AFWC,2447.7572754
ETH_SHJU,33386.998734922
LKA_SRIL,10714.4378662
FSM_MICO,1533.5223877
TGO_AFWC,2140.7776864725
NGA_AFWC,8894.47280387
VEN_NESO,3560.8951091380004
LBR_AFWC,10571.627730586602
GUY_NESO,17402.6838126975
CAF_CONG,27659.8812501
PLW_PAEI,919.3507812
COL_ORIN,31908.455917909003
GHA_AFWC,6508.975144438801
MYS_NBCO,26092.569748152997
PHL_NBCO,613.135205
COL_CEPC,7400.978970192401
NGA_GFGU,4813.898228374001
CMR_GFGU,20001.359492929
SUR_NESO,15044.805623948903
MYS_PMAL,16858.7021054254
FRA_NESO,7898.400778760399
SSD_RIFT,1329.9794350370003
IDN_SUMA,71295.53444729999
CMR_CONG,6437.334659625
COD_CONG,216240.93866816128
SOM_SHJU,23122.687813545104
BRN_NBCO,307.7419434
GUY_AMAZ,225.02892090000003
IDN_KALI,61461.2737041
IDN_SULA,70607.95954520002
BRA_AMAZ,361125.817910231
UGA_NILE,24369.609895399
KEN_RIFT,9335.01438293
KEN_SHJU,20673.416150569006
GNQ_GFGU,3951.2383617154005
COG_CONG,22200.03580289001
VEN_AMAZ,3072.9298386303994
COL_AMAZ,25777.198729830998
GAB_GFGU,28588.576043421803
COG_GFGU,8139.440727236002
KIR_KINA,617.6943604
STP_GFGU,617.9296631000001
ECU_CEPC,17744.423694164707
SGP_PMAL,149.23000772190002
ECU_AMAZ,7566.040878392001
KEN_NILE,3399.2013913
PER_AMAZ,90788.717513851
KEN_AECC,16675.8662595
SOM_AECC,1815.6479687588
IDN_IRJA,59172.3672849
BRA_TOCA,122561.43237285082
RWA_NILE,1371.199360198
TZA_NILE,10095.494761123002
PNG_PNGC,53035.91084040659
TZA_RIFT,17436.384844898002
RWA_CONG,40.13695678900001
TZA_AECC,48735.31290350501
BRA_SAOF,116833.52624457798
