region,year,type,value
BGR_AGBS,2100,FRS,1730.495598272346
BGR_AGBS,2100,GL,1142.2182143921736
BGR_AGBS,2100,CL,1874.3533409647896
BGR_DANU,2005,FRS,898.1014283046978
BGR_DANU,2005,GL,622.3718527715358
BGR_DANU,2005,CL,1230.7402416698935
BGR_DANU,2050,FRS,578.9118941471335
BGR_DANU,2050,GL,771.0745282163795
BGR_DANU,2050,CL,1742.885746109687
BGR_DANU,2100,FRS,486.1232133583112
BGR_DANU,2100,GL,790.4937616010774
BGR_DANU,2100,CL,1942.5715923297896
BHR_ARPA,2005,GL,42.82420899420655
BHR_ARPA,2050,GL,42.76995614313458
BHR_ARPA,2100,GL,42.32756294565584
BHS_CARI,2005,FRS,369.6275697572832
BHS_CARI,2005,GL,634.7424296122166
BHS_CARI,2050,FRS,368.8025196820468
BHS_CARI,2050,GL,634.7223577079242
BHS_CARI,2100,FRS,368.1240769081636
BHS_CARI,2100,GL,634.6602508898623
BIH_AGBS,2005,FRS,412.0423844612984
BIH_AGBS,2005,CL,65.00004862162588
BIH_AGBS,2050,FRS,606.6191333412156
BIH_AGBS,2050,CL,71.88295944443453
BIH_AGBS,2100,FRS,538.7500500049268
BIH_AGBS,2100,CL,60.163169493847015
BIH_DANU,2005,FRS,1207.5575959495684
BIH_DANU,2005,GL,733.734482021807
BIH_DANU,2005,CL,395.3483722788241
BIH_DANU,2050,FRS,1208.769444306389
BIH_DANU,2050,GL,719.0995849138077
BIH_DANU,2050,CL,347.06938294728127
BIH_DANU,2100,FRS,1127.8695935518967
BIH_DANU,2100,GL,635.4792810383286
BIH_DANU,2100,CL,244.12238320314523
BLR_DAUG,2005,FRS,1009.0556488432388
BLR_DAUG,2005,GL,590.58088418139
BLR_DAUG,2005,CL,613.4666982990436
BLR_DAUG,2050,FRS,1167.232628101345
BLR_DAUG,2050,GL,640.5336966802076
BLR_DAUG,2050,CL,529.8744909130035
BLR_DAUG,2100,FRS,1099.1109226944582
BLR_DAUG,2100,GL,601.9857293552357
BLR_DAUG,2100,CL,723.4201541906709
BLR_DNIP,2005,FRS,669.8403750716959
BLR_DNIP,2005,GL,5269.106875330172
BLR_DNIP,2005,CL,2740.160901517929
BLR_DNIP,2050,FRS,615.760677552516
BLR_DNIP,2050,GL,5096.684711728937
BLR_DNIP,2050,CL,3584.5728932622205
BLR_DNIP,2100,FRS,254.49617901472712
BLR_DNIP,2100,GL,2262.7417854898754
BLR_DNIP,2100,CL,7495.625156139692
BLR_NEMA,2005,FRS,16.865181080405183
BLR_NEMA,2005,GL,2337.729706184174
BLR_NEMA,2005,CL,1370.2563201411435
BLR_NEMA,2050,GL,2105.2288751603514
BLR_NEMA,2050,CL,1844.5679359479052
BLR_NEMA,2100,GL,892.748621285898
BLR_NEMA,2100,CL,3206.111493624228
BLZ_YUPA,2005,FRS,1029.7201796446682
BLZ_YUPA,2005,GL,633.7711928433425
BLZ_YUPA,2005,CL,68.21676954141549
BLZ_YUPA,2050,FRS,1003.2837294785322
BLZ_YUPA,2050,GL,632.3618371209669
BLZ_YUPA,2050,CL,86.54571047452696
BLZ_YUPA,2100,FRS,1006.605129858988
BLZ_YUPA,2100,GL,644.1844119654444
BLZ_YUPA,2100,CL,87.5619415427321
BOL_AMAZ,2005,FRS,32882.46315152573
BOL_AMAZ,2005,GL,19948.922598933976
BOL_AMAZ,2005,CL,1707.4046182356717
