RISO,G,Text
DZA,76688,c_bool(False)
DZA,76689,c_bool(False)
DZA,76690,c_bool(False)
DZA,76691,c_bool(False)
DZA,76692,c_bool(False)
DZA,76693,c_bool(False)
DZA,76694,c_bool(False)
DZA,76695,c_bool(False)
DZA,76696,c_bool(False)
DZA,76697,c_bool(False)
DZA,76698,c_bool(False)
DZA,77401,c_bool(False)
DZA,77402,c_bool(False)
DZA,77403,c_bool(False)
DZA,77404,c_bool(False)
DZA,77405,c_bool(False)
DZA,77406,c_bool(False)
DZA,77407,c_bool(False)
DZA,77408,c_bool(False)
DZA,77409,c_bool(False)
DZA,77410,c_bool(False)
DZA,77411,c_bool(False)
DZA,77412,c_bool(False)
DZA,77413,c_bool(False)
DZA,77414,c_bool(False)
DZA,77415,c_bool(False)
DZA,77416,c_bool(False)
DZA,77417,c_bool(False)
DZA,78118,c_bool(False)
DZA,78119,c_bool(False)
DZA,78120,c_bool(False)
DZA,78121,c_bool(False)
DZA,78122,c_bool(False)
DZA,78123,c_bool(False)
DZA,78124,c_bool(False)
DZA,78125,c_bool(False)
DZA,78126,c_bool(False)
DZA,78127,c_bool(False)
DZA,78128,c_bool(False)
DZA,78129,c_bool(False)
DZA,78130,c_bool(False)
DZA,78131,c_bool(False)
DZA,78132,c_bool(False)
DZA,78133,c_bool(False)
DZA,78134,c_bool(False)
DZA,78135,c_bool(False)
DZA,78136,c_bool(False)
DZA,78137,c_bool(False)
DZA,78836,c_bool(False)
DZA,78837,c_bool(False)
DZA,78838,c_bool(False)
DZA,78839,c_bool(False)
DZA,78840,c_bool(False)
DZA,78841,c_bool(False)
DZA,78842,c_bool(False)
DZA,78843,c_bool(False)
DZA,78844,c_bool(False)
DZA,78845,c_bool(False)
DZA,78846,c_bool(False)
DZA,78847,c_bool(False)
DZA,78848,c_bool(False)
DZA,78849,c_bool(False)
DZA,78850,c_bool(False)
DZA,78851,c_bool(False)
DZA,78852,c_bool(False)
DZA,78853,c_bool(False)
DZA,78854,c_bool(False)
DZA,78855,c_bool(False)
DZA,78856,c_bool(False)
DZA,78857,c_bool(False)
DZA,79556,c_bool(False)
DZA,79557,c_bool(False)
DZA,79558,c_bool(False)
DZA,79559,c_bool(False)
DZA,79560,c_bool(False)
DZA,79561,c_bool(False)
DZA,79562,c_bool(False)
DZA,79563,c_bool(False)
DZA,79564,c_bool(False)
DZA,79565,c_bool(False)
DZA,79566,c_bool(False)
DZA,79567,c_bool(False)
DZA,79568,c_bool(False)
DZA,79569,c_bool(False)
DZA,79570,c_bool(False)
DZA,79571,c_bool(False)
DZA,79572,c_bool(False)
DZA,79573,c_bool(False)
DZA,79574,c_bool(False)
DZA,79575,c_bool(False)
DZA,79576,c_bool(False)
DZA,79577,c_bool(False)
DZA,80277,c_bool(False)
DZA,80278,c_bool(False)
DZA,80279,c_bool(False)
DZA,80280,c_bool(False)
DZA,80281,c_bool(False)
DZA,80282,c_bool(False)
DZA,80283,c_bool(False)
DZA,80284,c_bool(False)
DZA,80285,c_bool(False)
DZA,80286,c_bool(False)
DZA,80287,c_bool(False)
DZA,80288,c_bool(False)
DZA,80289,c_bool(False)
DZA,80290,c_bool(False)
DZA,80291,c_bool(False)
DZA,80292,c_bool(False)
DZA,80293,c_bool(False)
DZA,80294,c_bool(False)
DZA,80295,c_bool(False)
DZA,80296,c_bool(False)
DZA,80997,c_bool(False)
DZA,80998,c_bool(False)
DZA,80999,c_bool(False)
DZA,81000,c_bool(False)
DZA,81001,c_bool(False)
DZA,81002,c_bool(False)
DZA,81003,c_bool(False)
DZA,81004,c_bool(False)
DZA,81005,c_bool(False)
DZA,81006,c_bool(False)
DZA,81007,c_bool(False)
DZA,81008,c_bool(False)
DZA,81009,c_bool(False)
DZA,81010,c_bool(False)
DZA,81011,c_bool(False)
DZA,81012,c_bool(False)
DZA,81013,c_bool(False)
DZA,81014,c_bool(False)
DZA,81015,c_bool(False)
DZA,81016,c_bool(False)
DZA,81717,c_bool(False)
DZA,81718,c_bool(False)
