basin,year,land,Value
AFG_INDU,2060,OSD,3.132
AFG_INDU,2060,OTH_A,1.929
AFG_INDU,2060,CEREAL,2.22
AFG_INDU,2070,CROP_FLW,4.146
AFG_INDU,2070,PDR,5.024
AFG_INDU,2070,WHT,1.901
AFG_INDU,2070,GRO,1.64
AFG_INDU,2070,OSD,3.153
AFG_INDU,2070,OTH_A,1.75
AFG_INDU,2070,CEREAL,2.055
AFG_INDU,2080,CROP_FLW,4.052
AFG_INDU,2080,PDR,4.742
AFG_INDU,2080,WHT,1.921
AFG_INDU,2080,GRO,1.521
AFG_INDU,2080,OSD,3.189
AFG_INDU,2080,OTH_A,1.723
AFG_INDU,2080,CEREAL,2.061
AFG_INDU,2090,CROP_FLW,3.931
AFG_INDU,2090,PDR,4.641
AFG_INDU,2090,WHT,1.732
AFG_INDU,2090,GRO,1.451
AFG_INDU,2090,OSD,3.216
AFG_INDU,2090,OTH_A,1.649
AFG_INDU,2090,CEREAL,1.907
AFG_INDU,2100,CROP_FLW,3.882
AFG_INDU,2100,PDR,4.642
AFG_INDU,2100,WHT,1.638
AFG_INDU,2100,GRO,1.356
AFG_INDU,2100,OSD,3.225
AFG_INDU,2100,OTH_A,1.556
AFG_INDU,2100,CEREAL,1.792
AGO_ANGC,2005,CROP_FLW,5.341
AGO_ANGC,2005,PDR,1.737
AGO_ANGC,2005,GRO,1.083
AGO_ANGC,2005,OSD,0.895
AGO_ANGC,2005,C_B,58.667
AGO_ANGC,2005,OTH_A,0.895
AGO_ANGC,2005,CEREAL,1.088
AGO_ANGC,2010,CROP_FLW,5.345
AGO_ANGC,2010,PDR,2.63
AGO_ANGC,2010,GRO,1.049
AGO_ANGC,2010,OSD,1.113
AGO_ANGC,2010,C_B,94.316
AGO_ANGC,2010,OTH_A,0.922
AGO_ANGC,2010,CEREAL,1.071
AGO_ANGC,2020,CROP_FLW,5.216
AGO_ANGC,2020,PDR,3.01
AGO_ANGC,2020,GRO,1.065
AGO_ANGC,2020,OSD,1.329
AGO_ANGC,2020,C_B,92.368
AGO_ANGC,2020,OTH_A,0.981
AGO_ANGC,2020,CEREAL,1.1
AGO_ANGC,2030,CROP_FLW,5.096
AGO_ANGC,2030,PDR,3.054
AGO_ANGC,2030,GRO,1.119
AGO_ANGC,2030,OSD,1.429
AGO_ANGC,2030,C_B,96.614
AGO_ANGC,2030,OTH_A,1.063
AGO_ANGC,2030,CEREAL,1.157
AGO_ANGC,2040,CROP_FLW,5.064
AGO_ANGC,2040,PDR,3.069
AGO_ANGC,2040,GRO,1.171
AGO_ANGC,2040,OSD,1.555
AGO_ANGC,2040,C_B,106.259
AGO_ANGC,2040,OTH_A,1.131
AGO_ANGC,2040,CEREAL,1.212
AGO_ANGC,2050,CROP_FLW,5.061
AGO_ANGC,2050,PDR,3.11
AGO_ANGC,2050,GRO,1.221
AGO_ANGC,2050,OSD,1.602
AGO_ANGC,2050,C_B,119.073
AGO_ANGC,2050,OTH_A,1.202
AGO_ANGC,2050,CEREAL,1.264
AGO_ANGC,2060,CROP_FLW,5.195
AGO_ANGC,2060,PDR,3.266
AGO_ANGC,2060,GRO,1.281
AGO_ANGC,2060,OSD,1.633
AGO_ANGC,2060,C_B,135.069
AGO_ANGC,2060,OTH_A,1.281
AGO_ANGC,2060,CEREAL,1.33
AGO_ANGC,2070,CROP_FLW,5.394
AGO_ANGC,2070,PDR,3.534
AGO_ANGC,2070,GRO,1.338
AGO_ANGC,2070,OSD,1.667
AGO_ANGC,2070,C_B,151.833
AGO_ANGC,2070,OTH_A,1.349
AGO_ANGC,2070,CEREAL,1.393
AGO_ANGC,2080,CROP_FLW,5.222
AGO_ANGC,2080,PDR,3.715
AGO_ANGC,2080,GRO,1.498
AGO_ANGC,2080,OSD,1.711
AGO_ANGC,2080,C_B,172.98
