basin,year,land,Value
XE25,2050,GRO,5.539
XE25,2050,OSD,2.682
XE25,2050,C_B,113.174
XE25,2050,OTH_A,18.559
XE25,2050,CEREAL,5.711
XE25,2051,CROP_FLW,5.736
XE25,2051,PDR,6.201
XE25,2051,WHT,5.863
XE25,2051,GRO,5.538
XE25,2051,OSD,2.681
XE25,2051,C_B,114.004
XE25,2051,OTH_A,18.568
XE25,2051,CEREAL,5.718
XE25,2052,CROP_FLW,5.743
XE25,2052,PDR,6.199
XE25,2052,WHT,5.875
XE25,2052,GRO,5.537
XE25,2052,OSD,2.681
XE25,2052,C_B,114.840
XE25,2052,OTH_A,18.577
XE25,2052,CEREAL,5.724
XE25,2053,CROP_FLW,5.750
XE25,2053,PDR,6.197
XE25,2053,WHT,5.887
XE25,2053,GRO,5.537
XE25,2053,OSD,2.680
XE25,2053,C_B,115.682
XE25,2053,OTH_A,18.586
XE25,2053,CEREAL,5.730
XE25,2054,CROP_FLW,5.757
XE25,2054,PDR,6.195
XE25,2054,WHT,5.899
XE25,2054,GRO,5.536
XE25,2054,OSD,2.679
XE25,2054,C_B,116.531
XE25,2054,OTH_A,18.595
XE25,2054,CEREAL,5.736
XE25,2055,CROP_FLW,5.764
XE25,2055,PDR,6.193
XE25,2055,WHT,5.911
XE25,2055,GRO,5.535
XE25,2055,OSD,2.678
XE25,2055,C_B,117.385
XE25,2055,OTH_A,18.604
XE25,2055,CEREAL,5.742
XE25,2056,CROP_FLW,5.771
XE25,2056,PDR,6.191
XE25,2056,WHT,5.923
XE25,2056,GRO,5.535
XE25,2056,OSD,2.678
XE25,2056,C_B,118.246
XE25,2056,OTH_A,18.613
XE25,2056,CEREAL,5.748
XE25,2057,CROP_FLW,5.778
XE25,2057,PDR,6.190
XE25,2057,WHT,5.935
XE25,2057,GRO,5.534
XE25,2057,OSD,2.677
XE25,2057,C_B,119.114
XE25,2057,OTH_A,18.622
XE25,2057,CEREAL,5.754
XE25,2058,CROP_FLW,5.785
XE25,2058,PDR,6.188
XE25,2058,WHT,5.947
XE25,2058,GRO,5.533
XE25,2058,OSD,2.676
XE25,2058,C_B,119.987
XE25,2058,OTH_A,18.631
XE25,2058,CEREAL,5.760
XE25,2059,CROP_FLW,5.792
XE25,2059,PDR,6.186
XE25,2059,WHT,5.960
XE25,2059,GRO,5.532
XE25,2059,OSD,2.675
XE25,2059,C_B,120.867
XE25,2059,OTH_A,18.639
XE25,2059,CEREAL,5.766
XE25,2060,CROP_FLW,5.800
XE25,2060,PDR,6.184
XE25,2060,WHT,5.972
XE25,2060,GRO,5.532
XE25,2060,OSD,2.674
XE25,2060,C_B,121.754
XE25,2060,OTH_A,18.648
XE25,2060,CEREAL,5.772
XE25,2061,CROP_FLW,5.803
XE25,2061,PDR,6.183
XE25,2061,WHT,5.981
XE25,2061,GRO,5.540
XE25,2061,OSD,2.674
XE25,2061,C_B,122.552
XE25,2061,OTH_A,18.652
XE25,2061,CEREAL,5.782
XE25,2062,CROP_FLW,5.807
XE25,2062,PDR,6.181
XE25,2062,WHT,5.990
XE25,2062,GRO,5.549
XE25,2062,OSD,2.673
XE25,2062,C_B,123.355
XE25,2062,OTH_A,18.656
XE25,2062,CEREAL,5.792
XE25,2063,CROP_FLW,5.810
XE25,2063,PDR,6.180
XE25,2063,WHT,6.000
XE25,2063,GRO,5.558
XE25,2063,OSD,2.673
XE25,2063,C_B,124.163
XE25,2063,OTH_A,18.660
XE25,2063,CEREAL,5.802
XE25,2064,CROP_FLW,5.814
XE25,2064,PDR,6.178
XE25,2064,WHT,6.009
XE25,2064,GRO,5.567
XE25,2064,OSD,2.672
XE25,2064,C_B,124.977
XE25,2064,OTH_A,18.664
XE25,2064,CEREAL,5.812
XE25,2065,CROP_FLW,5.818
XE25,2065,PDR,6.177
XE25,2065,WHT,6.019
XE25,2065,GRO,5.576
XE25,2065,OSD,2.672
XE25,2065,C_B,125.796
XE25,2065,OTH_A,18.667
XE25,2065,CEREAL,5.822
XE25,2066,CROP_FLW,5.821
XE25,2066,PDR,6.176
XE25,2066,WHT,6.028
XE25,2066,GRO,5.585
XE25,2066,OSD,2.671
XE25,2066,C_B,126.620
XE25,2066,OTH_A,18.671
XE25,2066,CEREAL,5.831
XE25,2067,CROP_FLW,5.825
XE25,2067,PDR,6.174
XE25,2067,WHT,6.037
XE25,2067,GRO,5.594
XE25,2067,OSD,2.671
XE25,2067,C_B,127.450
XE25,2067,OTH_A,18.675
XE25,2067,CEREAL,5.841
XE25,2068,CROP_FLW,5.828
XE25,2068,PDR,6.173
XE25,2068,WHT,6.047
XE25,2068,GRO,5.603
XE25,2068,OSD,2.670
XE25,2068,C_B,128.285
XE25,2068,OTH_A,18.679
XE25,2068,CEREAL,5.851
XE25,2069,CROP_FLW,5.832
XE25,2069,PDR,6.171
XE25,2069,WHT,6.056
XE25,2069,GRO,5.612
XE25,2069,OSD,2.670
XE25,2069,C_B,129.126
XE25,2069,OTH_A,18.682
XE25,2069,CEREAL,5.861
XE25,2070,CROP_FLW,5.836
XE25,2070,PDR,6.170
XE25,2070,WHT,6.066
XE25,2070,GRO,5.621
XE25,2070,OSD,2.669
XE25,2070,C_B,129.972
XE25,2070,OTH_A,18.686
XE25,2070,CEREAL,5.871
XE25,2071,CROP_FLW,5.836
XE25,2071,PDR,6.169
XE25,2071,WHT,6.071
XE25,2071,GRO,5.629
XE25,2071,OSD,2.668
XE25,2071,C_B,130.542
XE25,2071,OTH_A,18.700
XE25,2071,CEREAL,5.879
XE25,2072,CROP_FLW,5.837
XE25,2072,PDR,6.169
XE25,2072,WHT,6.077
XE25,2072,GRO,5.638
XE25,2072,OSD,2.667
XE25,2072,C_B,131.114
XE25,2072,OTH_A,18.714
XE25,2072,CEREAL,5.886
XE25,2073,CROP_FLW,5.838
XE25,2073,PDR,6.168
XE25,2073,WHT,6.083
XE25,2073,GRO,5.646
XE25,2073,OSD,2.666
XE25,2073,C_B,131.688
XE25,2073,OTH_A,18.728
XE25,2073,CEREAL,5.894
XE25,2074,CROP_FLW,5.839
XE25,2074,PDR,6.168
XE25,2074,WHT,6.088
XE25,2074,GRO,5.654
XE25,2074,OSD,2.665
XE25,2074,C_B,132.265
XE25,2074,OTH_A,18.742
XE25,2074,CEREAL,5.901
XE25,2075,CROP_FLW,5.839
XE25,2075,PDR,6.167
XE25,2075,WHT,6.094
XE25,2075,GRO,5.662
XE25,2075,OSD,2.664
XE25,2075,C_B,132.845
XE25,2075,OTH_A,18.755
XE25,2075,CEREAL,5.908
XE25,2076,CROP_FLW,5.840
XE25,2076,PDR,6.167
XE25,2076,WHT,6.100
XE25,2076,GRO,5.671
XE25,2076,OSD,2.663
XE25,2076,C_B,133.427
XE25,2076,OTH_A,18.769
XE25,2076,CEREAL,5.916
XE25,2077,CROP_FLW,5.841
XE25,2077,PDR,6.166
XE25,2077,WHT,6.106
XE25,2077,GRO,5.679
XE25,2077,OSD,2.662
XE25,2077,C_B,134.012
XE25,2077,OTH_A,18.783
XE25,2077,CEREAL,5.923
XE25,2078,CROP_FLW,5.842
XE25,2078,PDR,6.166
XE25,2078,WHT,6.111
XE25,2078,GRO,5.687
XE25,2078,OSD,2.661
XE25,2078,C_B,134.599
XE25,2078,OTH_A,18.797
XE25,2078,CEREAL,5.931
XE25,2079,CROP_FLW,5.842
