region_name,year,type,basin_value,region_value,diff_region-basin,area,diff/area
BEL_MAAS,2005,CL,33.007,26.665,-6.342,1407.7124067540683,-0.005
BEL_MAAS,2005,FRS,0.000,0.000,0.000,1407.7124067540683,0.000
BEL_MAAS,2005,GL,43.009,47.944,4.935,1407.7124067540683,0.004
BEL_MAAS,2050,CL,11.716,26.665,14.949,1407.7124067540683,0.011
BEL_MAAS,2050,FRS,0.000,0.000,0.000,1407.7124067540683,0.000
BEL_MAAS,2050,GL,39.003,31.004,-7.999,1407.7124067540683,-0.006
BEL_MAAS,2100,CL,2.003,26.665,24.663,1407.7124067540683,0.018
BEL_MAAS,2100,FRS,0.000,0.000,0.000,1407.7124067540683,0.000
BEL_MAAS,2100,GL,18.127,11.333,-6.794,1407.7124067540683,-0.005
BEL_SCHE,2005,CL,246.636,202.248,-44.388,1641.8586139044671,-0.027
BEL_SCHE,2005,FRS,1.523,79.632,78.109,1641.8586139044671,0.048
BEL_SCHE,2005,GL,115.034,164.540,49.506,1641.8586139044671,0.030
BEL_SCHE,2050,CL,186.394,301.612,115.218,1641.8586139044671,0.070
BEL_SCHE,2050,FRS,2.417,50.844,48.427,1641.8586139044671,0.029
BEL_SCHE,2050,GL,106.029,97.510,-8.519,1641.8586139044671,-0.005
BEL_SCHE,2100,CL,93.090,355.600,262.509,1641.8586139044671,0.160
BEL_SCHE,2100,FRS,1.942,0.000,-1.942,1641.8586139044671,-0.001
BEL_SCHE,2100,GL,56.233,26.489,-29.744,1641.8586139044671,-0.018
BEN_AFWC,2005,CL,498.930,459.777,-39.154,5623.022071501551,-0.007
BEN_AFWC,2005,FRS,686.135,513.586,-172.549,5623.022071501551,-0.031
BEN_AFWC,2005,GL,119.642,84.956,-34.686,5623.022071501551,-0.006
BEN_AFWC,2050,CL,573.452,447.476,-125.976,5623.022071501551,-0.022
BEN_AFWC,2050,FRS,438.445,413.505,-24.940,5623.022071501551,-0.004
BEN_AFWC,2050,GL,325.773,192.577,-133.197,5623.022071501551,-0.024
BEN_AFWC,2100,CL,413.526,407.589,-5.936,5623.022071501551,-0.001
BEN_AFWC,2100,FRS,0.000,383.002,383.002,5623.022071501551,0.068
BEN_AFWC,2100,GL,1659.758,241.943,-1417.816,5623.022071501551,-0.252
BEN_NIGE,2005,CL,531.109,204.637,-326.472,4473.577075362466,-0.073
BEN_NIGE,2005,FRS,1166.208,0.000,-1166.208,4473.577075362466,-0.261
BEN_NIGE,2005,GL,83.925,125.015,41.090,4473.577075362466,0.009
BEN_NIGE,2050,CL,564.896,249.992,-314.904,4473.577075362466,-0.070
BEN_NIGE,2050,FRS,1145.571,0.000,-1145.571,4473.577075362466,-0.256
BEN_NIGE,2050,GL,150.790,308.684,157.894,4473.577075362466,0.035
BEN_NIGE,2100,CL,551.078,250.293,-300.785,4473.577075362466,-0.067
BEN_NIGE,2100,FRS,123.009,0.000,-123.009,4473.577075362466,-0.027
BEN_NIGE,2100,GL,1615.817,392.611,-1223.206,4473.577075362466,-0.273
BEN_VOLT,2005,CL,80.895,36.793,-44.102,1543.704918684173,-0.029
BEN_VOLT,2005,FRS,527.212,0.000,-527.212,1543.704918684173,-0.342
BEN_VOLT,2005,GL,7.846,7.307,-0.539,1543.704918684173,-0.000
BEN_VOLT,2050,CL,117.217,39.828,-77.389,1543.704918684173,-0.050
BEN_VOLT,2050,FRS,487.980,0.000,-487.980,1543.704918684173,-0.316
BEN_VOLT,2050,GL,12.872,18.073,5.202,1543.704918684173,0.003
BEN_VOLT,2100,CL,157.915,39.828,-118.087,1543.704918684173,-0.076
BEN_VOLT,2100,FRS,67.262,0.000,-67.262,1543.704918684173,-0.044
BEN_VOLT,2100,GL,387.791,23.047,-364.745,1543.704918684173,-0.236
BFA_NIGE,2005,CL,453.665,591.829,138.164,8300.273123195988,0.017
BFA_NIGE,2005,FRS,560.211,0.000,-560.211,8300.273123195988,-0.067
BFA_NIGE,2005,GL,1072.083,819.479,-252.604,8300.273123195988,-0.030
BFA_NIGE,2050,CL,611.812,729.324,117.512,8300.273123195988,0.014
BFA_NIGE,2050,FRS,174.195,0.000,-174.195,8300.273123195988,-0.021
