variable,basin,year,area
basin_forest,BLZ_YUPA,2005,914.7162098600975
basin_forest,VIR_CARI,2005,0.0
basin_forest,ATG_CARI,2005,0.0
basin_forest,YEM_RSEE,2005,42.23104694685671
basin_forest,GTM_GRIJ,2005,1145.1983847734443
basin_forest,GTM_YUPA,2005,1530.3434259258113
basin_forest,KNA_CARI,2005,0.0
basin_forest,ERI_ARGA,2005,0.0
basin_forest,HND_SCAM,2005,5833.281076823127
basin_forest,SEN_SENE,2005,3413.554278309301
basin_forest,THA_PMAL,2005,6102.154575256287
basin_forest,SEN_AFWC,2005,3975.212269001704
basin_forest,MMR_PMAL,2005,1746.4268200402248
basin_forest,GTM_SCAM,2005,656.6187701291874
basin_forest,NIC_SCAM,2005,6138.792193531577
basin_forest,DMA_CARI,2005,0.0
basin_forest,MLI_SENE,2005,356.96404303942927
basin_forest,ERI_NILE,2005,0.0
basin_forest,BFA_NIGE,2005,560.2114283434917
basin_forest,ETH_NILE,2005,7031.822090346938
basin_forest,ETH_RIFT,2005,2471.2230265432745
basin_forest,ERI_RIFT,2005,0.0
basin_forest,THA_GTCC,2005,676.1325932726118
basin_forest,SLV_SCAM,2005,555.8727101432041
basin_forest,LCA_CARC,2005,0.0
basin_forest,BFA_VOLT,2005,3203.9742890257494
basin_forest,NGA_NIGE,2005,3071.264931626465
basin_forest,NGA_LCHA,2005,33.10130350421712
basin_forest,KHM_MEKO,2005,6281.769483100223
basin_forest,GUM_NMIG,2005,0.0
basin_forest,VCT_CARC,2005,0.0
basin_forest,BRB_CARC,2005,0.0
basin_forest,ABW_CARC,2005,0.0
basin_forest,YEM_ARGA,2005,0.0
basin_forest,COL_CARC,2005,2229.34722857556
basin_forest,VEN_CARC,2005,1443.182908903499
basin_forest,GRD_CARC,2005,0.0
basin_forest,GNB_AFWC,2005,543.555709620925
basin_forest,GIN_AFWC,2005,2581.1828017671
basin_forest,SSD_NILE,2005,1879.838734874735
basin_forest,DJI_ARGA,2005,0.0
basin_forest,GIN_SENE,2005,410.6655633906556
basin_forest,BEN_NIGE,2005,1166.2078264737902
basin_forest,ETH_ARGA,2005,0.0
basin_forest,SOM_ARGA,2005,0.7183358715370188
basin_forest,KHM_GTCC,2005,473.0186650271444
basin_forest,COL_MAGD,2005,8531.491526743372
basin_forest,TTO_CARC,2005,371.78458039330735
basin_forest,GIN_NIGE,2005,2820.331884238932
basin_forest,GHA_VOLT,2005,150.62371260768174
basin_forest,TGO_VOLT,2005,598.6393810372747
basin_forest,CMR_LCHA,2005,185.16630829153524
basin_forest,CRI_SCAM,2005,2173.8337255005276
basin_forest,VEN_MAGD,2005,8.993828204321263
basin_forest,BEN_VOLT,2005,527.2120889707378
basin_forest,VEN_ORIN,2005,40598.84137937578
basin_forest,CIV_AFWC,2005,2037.1980294959678
basin_forest,CMR_NIGE,2005,795.9448513650004
basin_forest,CAF_LCHA,2005,446.7793678100906
basin_forest,SOM_RIFT,2005,6.825882248414486
basin_forest,PAN_SCAM,2005,2444.145598594252
basin_forest,PAN_CEPC,2005,1868.5740159772054
basin_forest,SLE_AFWC,2005,2501.303628543098
basin_forest,CIV_NIGE,2005,9.858709254791432
basin_forest,BEN_AFWC,2005,686.1348915026088
basin_forest,ETH_SHJU,2005,1568.5703936380855
basin_forest,LKA_SRIL,2005,2282.079687515241
basin_forest,FSM_MICO,2005,0.0
basin_forest,TGO_AFWC,2005,495.96834171348246
basin_forest,NGA_AFWC,2005,1258.3110934654724
basin_forest,VEN_NESO,2005,2748.469639737535
basin_forest,LBR_AFWC,2005,6189.944157010447
basin_forest,GUY_NESO,2005,14829.458205175617
basin_forest,CAF_CONG,2005,15847.842740606784
basin_forest,PLW_PAEI,2005,0.0
basin_forest,COL_ORIN,2005,14925.373418597943
basin_forest,GHA_AFWC,2005,151.56912339185092
basin_forest,MYS_NBCO,2005,14988.731672963075
basin_forest,PHL_NBCO,2005,0.0
basin_forest,COL_CEPC,2005,4494.115278386595
basin_forest,NGA_GFGU,2005,1726.0552797364562
basin_forest,CMR_GFGU,2005,15287.32588498145
basin_forest,SUR_NESO,2005,14193.019741643631
basin_forest,MYS_PMAL,2005,7729.853503014972
basin_forest,FRA_NESO,2005,6521.464137783344
basin_forest,SSD_RIFT,2005,0.0
basin_forest,IDN_SUMA,2005,25354.71073397652
basin_forest,CMR_CONG,2005,6037.960998977105
basin_forest,COD_CONG,2005,147865.84756210295
basin_forest,SOM_SHJU,2005,0.0
basin_forest,BRN_NBCO,2005,0.0
basin_forest,GUY_AMAZ,2005,162.84896134102866
basin_forest,IDN_KALI,2005,35974.24038394158
basin_forest,IDN_SULA,2005,14205.602080583605
basin_forest,BRA_AMAZ,2005,326597.9672046341
basin_forest,UGA_NILE,2005,652.5680586597646
basin_forest,KEN_RIFT,2005,152.60021650201543
basin_forest,KEN_SHJU,2005,227.17287481140264
basin_forest,GNQ_GFGU,2005,401.2596156867282
basin_forest,COG_CONG,2005,16708.249156234648
basin_forest,VEN_AMAZ,2005,3071.195139563007
basin_forest,COL_AMAZ,2005,24562.50203151605
basin_forest,GAB_GFGU,2005,20373.050149933864
basin_forest,COG_GFGU,2005,3256.4025072512204
basin_forest,KIR_KINA,2005,0.0
basin_forest,STP_GFGU,2005,0.0
basin_forest,ECU_CEPC,2005,3945.54145162863
basin_forest,SGP_PMAL,2005,0.0
basin_forest,ECU_AMAZ,2005,7225.099394841978
basin_forest,KEN_NILE,2005,470.7439314724004
basin_forest,PER_AMAZ,2005,72671.05183617663
basin_forest,KEN_AECC,2005,0.0
basin_forest,SOM_AECC,2005,0.0
basin_forest,IDN_IRJA,2005,33091.38800081344
basin_forest,BRA_TOCA,2005,58818.87151717388
basin_forest,RWA_NILE,2005,132.3273411537684
basin_forest,TZA_NILE,2005,617.9306058247212
basin_forest,PNG_PNGC,2005,21190.96139336467
basin_forest,TZA_RIFT,2005,55.46379702152478
basin_forest,RWA_CONG,2005,8.364199602680298
basin_forest,TZA_AECC,2005,6715.456010616583
basin_forest,BRA_SAOF,2005,5810.097168865639
basin_forest,PNG_IRJA,2005,2185.035694233733
basin_forest,PER_PERU,2005,2244.6411307312237
basin_forest,BDI_NILE,2005,139.3106618806663
basin_forest,TZA_CONG,2005,313.1335011936652
