region,year,type,region_value,basin_value,diff_region-basin,area,diff/area
MMR_PMAL,2050,FRS,1573.630,3369.716,-1796.086,5665.232,-0.317
GTM_SCAM,2050,FRS,592.560,725.304,-132.743,2428.453,-0.055
NIC_SCAM,2050,FRS,5567.284,4781.112,786.172,12895.397,0.061
MLI_SENE,2050,FRS,0.000,254.352,-254.352,17332.520,-0.015
BFA_NIGE,2050,FRS,0.000,566.340,-566.340,8300.273,-0.068
ETH_NILE,2050,FRS,5624.774,3503.408,2121.366,36731.493,0.058
ETH_RIFT,2050,FRS,942.883,824.129,118.754,30259.489,0.004
THA_GTCC,2050,FRS,873.375,835.813,37.562,3518.543,0.011
SLV_SCAM,2050,FRS,922.040,348.245,573.795,2057.499,0.279
BFA_VOLT,2050,FRS,0.000,1972.360,-1972.360,17305.176,-0.114
NGA_NIGE,2050,FRS,455.733,458.331,-2.598,57330.643,-0.000
KHM_MEKO,2050,FRS,7602.449,5237.376,2365.073,16359.672,0.145
COL_CARC,2050,FRS,1585.562,4193.714,-2608.152,11321.874,-0.230
VEN_CARC,2050,FRS,959.403,1721.884,-762.481,nan,nan
GNB_AFWC,2050,FRS,692.836,332.771,360.065,3271.070,0.110
GIN_AFWC,2050,FRS,136.050,2106.815,-1970.766,11802.314,-0.167
SSD_NILE,2050,FRS,1557.053,1312.350,244.704,nan,nan
DJI_ARGA,2050,FRS,0.000,48.152,-48.152,2027.820,-0.024
GIN_SENE,2050,FRS,0.000,245.773,-245.773,3131.799,-0.078
BEN_NIGE,2050,FRS,0.000,1350.252,-1350.252,4473.577,-0.302
ETH_ARGA,2050,FRS,0.000,19.773,-19.773,9495.438,-0.002
KHM_GTCC,2050,FRS,666.237,997.180,-330.944,1815.289,-0.182
COL_MAGD,2050,FRS,4183.089,9161.309,-4978.220,26041.126,-0.191
TTO_CARC,2050,FRS,198.410,326.511,-128.102,508.827,-0.252
GIN_NIGE,2050,FRS,41.306,0.000,41.306,9586.966,0.004
GHA_VOLT,2050,FRS,596.339,4.204,592.134,16676.239,0.036
TGO_VOLT,2050,FRS,116.604,111.221,5.383,2765.757,0.002
CMR_LCHA,2050,FRS,0.000,226.271,-226.271,4799.656,-0.047
CRI_SCAM,2050,FRS,1892.186,2192.893,-300.706,5110.716,-0.059
VEN_MAGD,2050,FRS,6.698,0.604,6.094,nan,nan
BEN_VOLT,2050,FRS,0.000,329.488,-329.488,1543.705,-0.213
VEN_ORIN,2050,FRS,21693.171,38236.168,-16542.997,nan,nan
CIV_AFWC,2050,FRS,1163.403,4833.552,-3670.149,29855.227,-0.123
CMR_NIGE,2050,FRS,556.276,666.627,-110.351,8730.270,-0.013
CAF_LCHA,2050,FRS,225.005,535.615,-310.609,21464.127,-0.014
PAN_SCAM,2050,FRS,2151.524,2233.300,-81.776,4862.432,-0.017
PAN_CEPC,2050,FRS,1901.455,1635.425,266.030,2596.320,0.102
SLE_AFWC,2050,FRS,538.968,1052.897,-513.929,7196.955,-0.071
CIV_NIGE,2050,FRS,12.215,26.433,-14.218,2331.570,-0.006
BEN_AFWC,2050,FRS,413.505,782.135,-368.631,5623.022,-0.066
ETH_SHJU,2050,FRS,1167.015,659.370,507.645,36722.146,0.014
LKA_SRIL,2050,FRS,1548.030,986.071,561.960,6600.516,0.085
TGO_AFWC,2050,FRS,234.023,117.807,116.216,2942.448,0.039
NGA_AFWC,2050,FRS,746.462,111.050,635.412,9738.833,0.065
VEN_NESO,2050,FRS,1266.861,3314.768,-2047.907,nan,nan
LBR_AFWC,2050,FRS,4595.373,2711.575,1883.798,9572.640,0.197
GUY_NESO,2050,FRS,10607.633,16968.565,-6360.933,19900.157,-0.320
CAF_CONG,2050,FRS,13280.944,20106.857,-6825.914,40597.646,-0.168
COL_ORIN,2050,FRS,8338.368,16615.234,-8276.866,34746.068,-0.238
GHA_AFWC,2050,FRS,1234.745,12.156,1222.589,7234.379,0.169
MYS_NBCO,2050,FRS,14708.649,14109.793,598.856,19659.724,0.030
COL_CEPC,2050,FRS,3678.897,5306.580,-1627.683,7698.418,-0.211
NGA_GFGU,2050,FRS,606.115,309.777,296.338,6128.729,0.048
